title,author,rating,ratings,score,link,autors link
Конармия. Одесские Рассказы.,Isaac Babel, 4.12 ,1.007,131,https://www.goodreads.com/book/show/6266297,https://www.goodreads.com/author/show/34055.Isaac_Babel
Big Mac,Serhiy Zhadan, 3.78 ,196,130,https://www.goodreads.com/book/show/8867205-big-mac,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan
Петербургские повести,Nikolai Gogol, 4.16 ,6.395,128,https://www.goodreads.com/book/show/13016149,https://www.goodreads.com/author/show/232932.Nikolai_Gogol
Соня,Kateryna Babkina, 3.75 ,114,127,https://www.goodreads.com/book/show/18751618,https://www.goodreads.com/author/show/8182679.Kateryna_Babkina
Мина Мазайло,Mykola Kulish, 3.96 ,520,126,https://www.goodreads.com/book/show/16069036,https://www.goodreads.com/author/show/2526235.Mykola_Kulish
Intent! Oder Die Spiegel des Todes,Lyubko Deresh, 3.46 ,411,125,https://www.goodreads.com/book/show/8476300-intent-oder-die-spiegel-des-todes,https://www.goodreads.com/author/show/14159666.Lyubko_Deresh
Неймовірні детективи,Vsevolod Nestayko, 4.39 ,36,121,https://www.goodreads.com/book/show/17453288,https://www.goodreads.com/author/show/5156729.Vsevolod_Nestayko
Мисливські усмішки,Ostap Vyshnya, 3.94 ,196,117,https://www.goodreads.com/book/show/16050211,https://www.goodreads.com/author/show/6541776.Ostap_Vyshnya
Бояриня,Lesia Ukrainka, 4.39 ,199,109,https://www.goodreads.com/book/show/23337337,https://www.goodreads.com/author/show/5128588.Lesia_Ukrainka
М'яч у пітьмі,Остап Сливинський, 4.12 ,8,106,https://www.goodreads.com/book/show/18720117,https://www.goodreads.com/author/show/7363488._
Таємниця,Юрій Андрухович, 3.74 ,228,105,https://www.goodreads.com/book/show/12566747,https://www.goodreads.com/author/show/20574188._
Андрій Лаговський,Агатангел Кримський, 4.37 ,27,103,https://www.goodreads.com/book/show/20317934,https://www.goodreads.com/author/show/7704099._
Bald Maiden Mountain,Sergej Golovachov (Goodreads Author), 5.00 ,2,100,https://www.goodreads.com/book/show/12192745-bald-maiden-mountain,https://www.goodreads.com/author/show/5082459.Sergej_Golovachov
Маджонг,Alexey Nikitin, 3.94 ,17,100,https://www.goodreads.com/book/show/10409554,https://www.goodreads.com/author/show/4527895.Alexey_Nikitin
What is Told,Askold Melnyczuk, 3.94 ,102,100,https://www.goodreads.com/book/show/2029572.What_is_Told,https://www.goodreads.com/author/show/175533.Askold_Melnyczuk
На запах м'яса,Liuko Dashvar, 3.95 ,400,100,https://www.goodreads.com/book/show/18598165,https://www.goodreads.com/author/show/5315530.Liuko_Dashvar
Герой передмістя,Іван Керницький, 4.50 ,4,100,https://www.goodreads.com/book/show/26878305,https://www.goodreads.com/author/show/14439604._
Жертва забутого майстра,Євгенія Кононенко, 3.75 ,8,100,https://www.goodreads.com/book/show/22846743,https://www.goodreads.com/author/show/7412383._
Dziesięć słów o ojczyźnie,Oleksij Tschupa, 3.42 ,53,100,https://www.goodreads.com/book/show/33838416-dziesi-s-w-o-ojczy-nie,https://www.goodreads.com/author/show/19150447.Oleksij_Tschupa
Summa,Yuri Izdryk, 4.06 ,50,100,https://www.goodreads.com/book/show/30225638-summa,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk
Duel,Borys Antonenko-Davydovych, 3.00 ,4,100,https://www.goodreads.com/book/show/3857741-duel,https://www.goodreads.com/author/show/156215.Borys_Antonenko_Davydovych
Het zware zand,Anatoli Rybakov, 4.46 ,505,100,https://www.goodreads.com/book/show/12883117-het-zware-zand,https://www.goodreads.com/author/show/7074786.Anatoli_Rybakov
Blauwal der Erinnerung,Tanja Maljartschuk, 3.51 ,65,100,https://www.goodreads.com/book/show/44165661-blauwal-der-erinnerung,https://www.goodreads.com/author/show/7135040.Tanja_Maljartschuk
Easter Eggs for Anya: A Ukrainian Celebration of New Life in Christ,Virginia L. Kroll, 3.97 ,35,100,https://www.goodreads.com/book/show/288837.Easter_Eggs_for_Anya,https://www.goodreads.com/author/show/62022.Virginia_L_Kroll
