title,author,rating,ratings,score,cuntry ,published,image sm,image,link,AuthorLink,genre
Повість про санаторійну зону,Микола Хвильовий, 3.99,115.00,58,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452504520i/28510277._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452504520i/28510277._SX150_.jpg,https://goodreads.com/book/show/28510277,https://www.goodreads.com/author/show/18759316._,ua
Походження українського народу,Віктор Петров, 3.71,7.00,58,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404039245i/22601406._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404039245i/22601406._SX150_.jpg,https://goodreads.com/book/show/22601406,https://www.goodreads.com/author/show/7122340._,ua
Повість без назви,Valerian Pidmohylny, 4.31,93.00,58,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462889222i/30155476._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462889222i/30155476._SY175_.jpg,https://goodreads.com/book/show/30155476,https://www.goodreads.com/author/show/6877491.Valerian_Pidmohylny,ua
Poza tradytsiï: antolohii︠a︡ ukraïnsʹkoï modernoï poeziï v dii︠a︡spori,John Fizer, 3.00,1.00,57,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX150_.jpg,https://goodreads.com/book/show/2202518.Poza_tradytsi_,https://www.goodreads.com/author/show/997485.John_Fizer,ua
Старі люди,Sofia Andrukhovych, 3.38,71.00,57,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288116290i/9577769._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288116290i/9577769._SX150_.jpg,https://goodreads.com/book/show/9577769,https://www.goodreads.com/author/show/4425923.Sofia_Andrukhovych,ua
Мовчання адресоване мені,Vasyl Slapchuk, 3.50,2.00,57,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451073963i/28338655._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451073963i/28338655._SY175_.jpg,https://goodreads.com/book/show/28338655,https://www.goodreads.com/author/show/22362796.Vasyl_Slapchuk,ua
Щоденник національного героя Селепка Лавочки,Юрій Тис-Крохмалюк, 4.17,6.00,57,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457620568i/29476947._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457620568i/29476947._SY175_.jpg,https://goodreads.com/book/show/29476947,https://www.goodreads.com/author/show/8061086._,ua
Night And Day,Volodymyr Zenonovych Gzhytsky, 0.00,0.00,56,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499700286i/10469981._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499700286i/10469981._SY175_.jpg,https://goodreads.com/book/show/10469981-night-and-day,https://www.goodreads.com/author/show/4648583.Volodymyr_Zenonovych_Gzhytsky,ua
Мій тато став зіркою,Галина Кирпа, 4.25,20.00,56,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495280575i/27209921._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495280575i/27209921._SX150_.jpg,https://goodreads.com/book/show/27209921,https://www.goodreads.com/author/show/7142925._,ua
"На шляхах і роздоріжжях: спогади, невідомі твори",Борис Антоненко-Давидович, 4.33,3.00,56,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404765029i/22675033._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404765029i/22675033._SY175_.jpg,https://goodreads.com/book/show/22675033,https://www.goodreads.com/author/show/7279425._,ua
