title,author,rating,ratings,score,link,author link
Troublemaker: Surviving Hollywood and Scientology,Leah Remini (Goodreads Author), 4.03,63.532,51,https://www.goodreads.com/book/show/26827675-troublemaker,https://www.goodreads.com/author/show/6318261.Leah_Remini
What Happened,Hillary Rodham Clinton, 3.92,58.189,48,https://www.goodreads.com/book/show/34114362-what-happened,https://www.goodreads.com/author/show/2778471.Hillary_Rodham_Clinton
When You Are Engulfed in Flames,David Sedaris, 4.06,200.164,47,https://www.goodreads.com/book/show/1044355.When_You_Are_Engulfed_in_Flames,https://www.goodreads.com/author/show/2849.David_Sedaris
This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay (Goodreads Author), 4.41,223.885,46,https://www.goodreads.com/book/show/35510008-this-is-going-to-hurt,https://www.goodreads.com/author/show/17160706.Adam_Kay
Gandhi: An Autobiography,Mahatma Gandhi, 4.09,64.851,45,https://www.goodreads.com/book/show/112803.Gandhi,https://www.goodreads.com/author/show/5810891.Mahatma_Gandhi
As You Wish: Inconceivable Tales from the Making of The Princess Bride,Cary Elwes, 4.12,61.06,44,https://www.goodreads.com/book/show/21412202-as-you-wish,https://www.goodreads.com/author/show/4490863.Cary_Elwes
Lab Girl,Hope Jahren (Goodreads Author), 3.98,62.696,41,https://www.goodreads.com/book/show/25733983-lab-girl,https://www.goodreads.com/author/show/14104736.Hope_Jahren
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale, 4.03,57.213,37,https://www.goodreads.com/book/show/138269.Catch_Me_If_You_Can,https://www.goodreads.com/author/show/80294.Frank_W_Abagnale
Surprised by Joy: The Shape of My Early Life,C.S. Lewis, 4.04,58.938,34,https://www.goodreads.com/book/show/121732.Surprised_by_Joy,https://www.goodreads.com/author/show/1069006.C_S_Lewis
"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",Richard Branson, 3.98,54.642,32,https://www.goodreads.com/book/show/211099.Losing_My_Virginity,https://www.goodreads.com/author/show/115943.Richard_Branson
